sadness,anxiety,anger,joy,calm,entry_index
0.00033898797,0.0008754631,0.0048264083,0.015514277,0.0007042885,1
0.0010453982,0.0009381064,0.003991891,0.0012258798,0.000650221,2
0.0009598894,0.0009503135,0.010302555,0.0009918796,0.0004567707,3
0.0018456621,0.0016905223,0.007281291,0.0011819242,0.00290031,4
0.0018874824,0.0006708617,0.026412271,0.012732995,0.0036742664,5
0.0121674165,0.0053869043,0.010799405,0.2473414,0.1251473,6
0.0015486222,0.002329548,0.011555903,0.00093791017,0.0004685616,7
0.0044423933,0.000830226,0.03304609,0.0010926656,0.0028447204,8
0.0011338159,0.00066481397,0.0036196688,0.001007172,0.00047945514,9
0.0008480904,0.0005292378,0.0033091367,0.0027651328,0.00043080116,10
0.004152057,0.0020203618,0.019588059,0.0016635316,0.0022808742,11
0.0006446782,0.00071863795,0.010319777,0.0008268384,0.00033186944,12
0.0062210606,0.001837756,0.022597572,0.0007203318,0.0006626655,13
0.017978162,0.001091874,0.016866285,0.0006042502,0.0013873045,14
0.00047585866,0.0008381463,0.002213385,0.011111581,0.001090833,15
0.0010847632,0.0013852962,0.004409879,0.0016688155,0.00024902588,16
0.0003761187,0.00025598658,0.0037310014,0.0013139072,0.0005628636,17
0.00060940685,0.00068684877,0.0039373715,0.0013999714,0.00087316177,18
0.00046416908,0.0007305504,0.004795684,0.0012396364,0.00049837056,19
0.017288337,0.008126298,0.03632168,0.0017281447,0.001663225,20
0.002572019,0.0013548824,0.014718242,0.0020066733,0.0026546877,21
0.03365243,0.0045030247,0.060763102,0.00079641805,0.0013455944,22
0.0006979195,0.0004362936,0.005514684,0.0020224699,0.0012561196,23
0.0016295582,0.0014699638,0.0074200444,0.0008905729,0.00065957627,24
0.06749133,0.0039447714,0.019814964,0.001726843,0.0011617385,25
0.0013201875,0.0006089371,0.041315965,0.00042300872,0.0003828218,26
0.0010518483,0.00077081076,0.01675569,0.003796694,0.0011967762,27
0.0014665569,0.0051094536,0.021723833,0.0028714961,0.0013916284,28
0.0007386768,0.0009663766,0.017306937,0.0013096929,0.00046981793,29
0.009097226,0.0027204952,0.0058304057,0.036694948,0.06344733,30
0.011890433,0.0031606972,0.010200611,0.0074676843,0.004188608,31
0.0006221963,0.000624005,0.0067842626,0.0010984733,0.00095322385,32
0.014512272,0.0025544951,0.006967806,0.0026337467,0.0106556425,33
0.0020749806,0.0016723243,0.016338514,0.1012869,0.014818577,34
0.0053493483,0.0034851357,0.004741829,0.012350541,0.0021048486,35
0.0011482838,0.00088027515,0.007074272,0.0084546795,0.0032764375,36
0.0016280927,0.0033485433,0.079967156,0.0017013,0.001183127,37
0.013459442,0.0015644564,0.09452237,0.0028849964,0.0049477275,38
0.00076682825,0.00056872424,0.016325338,0.0007706119,0.0003306088,39
0.0006771664,0.00026331923,0.008086401,0.0019198668,0.0008353457,40
0.00081579486,0.0011472041,0.0031923284,0.0087941205,0.0010833984,41
0.0030785135,0.0066039558,0.0064786463,0.12603885,0.03699566,42
0.0005728556,0.00039087032,0.0043759444,0.07573251,0.0023959319,43
0.008378988,0.0192166,0.00801753,0.039469615,0.0038884862,44
0.0015648291,0.0034827609,0.02084878,0.001299643,0.00040051542,45
0.00051790755,0.0003766574,0.023121206,0.0005688184,0.00063489197,46
