entry_index,word_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative
5193,457,1,13,0,3,5,0,5,5,10,3
5233,206,0,4,0,0,2,3,3,3,6,3
5274,10,0,1,0,0,0,0,0,0,1,0
5306,42,0,2,0,0,1,1,2,1,3,0
5335,38,0,0,0,0,0,0,0,0,1,0
5356,17,0,0,0,0,0,0,1,2,0,0
5386,100,2,0,0,0,0,1,0,2,4,1
5404,155,0,1,1,2,1,1,0,1,2,3
5437,284,2,8,1,2,10,4,3,6,14,4
5449,272,3,6,2,3,2,4,1,8,7,5
5462,248,0,2,0,0,1,0,2,6,11,0
5479,169,1,1,1,1,0,1,0,1,3,2
5490,15,0,0,0,0,0,0,0,0,0,0
5499,7,1,1,2,2,1,2,1,1,1,2
5508,346,0,5,0,1,7,2,3,3,11,4
5516,225,4,1,0,1,0,2,1,4,2,7
5524,160,0,4,0,0,1,0,0,5,12,3
5538,146,0,1,0,0,0,0,0,2,4,0
5553,161,2,0,0,0,0,0,0,1,1,2
5570,27,0,1,0,0,1,1,0,1,2,1
5588,261,1,4,4,4,3,4,3,7,12,6
5609,105,1,2,0,2,4,0,0,8,7,2
5645,56,0,0,1,0,0,0,0,0,0,1
5675,111,0,1,0,0,1,0,0,0,2,0
5683,96,0,0,2,0,0,1,1,1,4,3
5689,173,0,2,0,0,2,0,0,3,7,0
5706,154,0,0,0,0,1,0,0,4,5,0
5726,438,1,1,1,2,5,2,1,6,11,3
5741,36,0,0,0,0,0,0,0,0,0,0
5745,302,1,6,4,1,6,2,4,7,8,8
5762,203,0,0,0,1,0,1,0,3,9,3
5782,125,0,1,1,0,1,0,1,6,4,0
5809,376,0,2,1,0,2,5,0,7,10,3
5851,211,0,3,0,1,3,2,3,3,5,2
5881,162,1,1,1,1,2,0,1,2,6,1
5908,116,2,2,2,2,0,2,0,5,1,2
5926,110,0,1,0,2,0,3,0,2,0,3
5954,210,0,4,1,0,0,0,0,3,6,1
5963,501,1,4,3,7,3,8,1,9,9,10
5983,91,0,0,0,0,0,0,0,1,0,0
6012,14,0,0,0,0,0,0,0,0,0,0
