bin,n_msgs,avg_msg_length,avg_pos_count,avg_neg_count,pos_pct,neg_pct
0,53,82.43396226415095,0.7169811320754716,0.11320754716981132,0.8697642481116961,0.1373311970702678
1,53,57.62264150943396,0.6981132075471698,0.09433962264150944,1.2115258677144727,0.16371971185330714
2,53,82.56603773584905,0.6226415094339622,0.1320754716981132,0.7541133455210238,0.15996343692870202
3,53,111.54716981132076,0.7358490566037735,0.018867924528301886,0.6596752368064953,0.016914749661705007
4,53,138.8490566037736,0.8867924528301887,0.07547169811320754,0.6386737328441364,0.05435521130588395
5,53,237.22641509433961,1.5660377358490567,0.24528301886792453,0.6601447546329436,0.10339616638829238
6,53,186.67924528301887,0.8867924528301887,0.1320754716981132,0.47503537497473214,0.07074994946432181
7,53,150.49056603773585,1.0943396226415094,0.1320754716981132,0.7271815446339017,0.08776328986960882
8,53,188.32075471698113,1.0,0.2641509433962264,0.5310089169421901,0.14026650636208796
9,54,296.6111111111111,2.574074074074074,0.35185185185185186,0.8678279328213773,0.11862396204033215
