bin,n_msgs,identity_score,deficit_pct,asset_pct,acceptance_pct
0,53,-0.4117647058823529,22.641509433962266,9.433962264150944,5.660377358490567
1,53,-0.14285714285714285,7.547169811320755,5.660377358490567,9.433962264150944
2,53,0.14285714285714285,11.320754716981133,15.09433962264151,1.8867924528301887
3,53,0.29411764705882354,11.320754716981133,20.754716981132077,15.09433962264151
4,53,-0.29411764705882354,20.754716981132077,11.320754716981133,11.320754716981133
5,53,-0.16666666666666666,26.41509433962264,18.867924528301888,16.9811320754717
6,53,-0.12,26.41509433962264,20.754716981132077,20.754716981132077
7,53,-0.16666666666666666,13.20754716981132,9.433962264150944,20.754716981132077
8,53,0.10344827586206896,24.528301886792452,30.18867924528302,24.528301886792452
9,54,-0.1282051282051282,40.74074074074074,31.48148148148148,29.629629629629626
